source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[carrier channel]	comment[reference channel]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
CTRL_1	Mus musculus	heart	cardiac muscle cell	cell	single cell	normal	adult	male	not available	wild type	manual picking	CTRL_1	1	1	20220323_SST_cnic_SCP_1-TMT126	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT126	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	not available	TMT131	not applicable	TMT_set_1	1	1	20220323_SST_cnic_SCP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type
MYC_1	Mus musculus	heart	cardiac muscle cell	cell	single cell	normal	adult	male	not available	Myc overexpression	manual picking	MYC_1	1	1	20220323_SST_cnic_SCP_1-TMT127N	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT127N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	not available	TMT131	not applicable	TMT_set_1	1	1	20220323_SST_cnic_SCP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Myc overexpression
CTRL_2	Mus musculus	heart	cardiac muscle cell	cell	single cell	normal	adult	male	not available	wild type	manual picking	CTRL_2	1	2	20220323_SST_cnic_SCP_1-TMT127C	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT127C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	not available	TMT131	not applicable	TMT_set_1	1	1	20220323_SST_cnic_SCP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type
MYC_2	Mus musculus	heart	cardiac muscle cell	cell	single cell	normal	adult	male	not available	Myc overexpression	manual picking	MYC_2	1	2	20220323_SST_cnic_SCP_1-TMT128N	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT128N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	not available	TMT131	not applicable	TMT_set_1	1	1	20220323_SST_cnic_SCP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Myc overexpression
CTRL_3	Mus musculus	heart	cardiac muscle cell	cell	single cell	normal	adult	male	not available	wild type	manual picking	CTRL_3	1	3	20220323_SST_cnic_SCP_1-TMT128C	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT128C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	not available	TMT131	not applicable	TMT_set_1	1	1	20220323_SST_cnic_SCP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type
MYC_3	Mus musculus	heart	cardiac muscle cell	cell	single cell	normal	adult	male	not available	Myc overexpression	manual picking	MYC_3	1	3	20220323_SST_cnic_SCP_1-TMT129N	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT129N	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	not available	TMT131	not applicable	TMT_set_1	1	1	20220323_SST_cnic_SCP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Myc overexpression
CTRL_4	Mus musculus	heart	cardiac muscle cell	cell	single cell	normal	adult	male	not available	wild type	manual picking	CTRL_4	1	4	20220323_SST_cnic_SCP_1-TMT129C	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT129C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	not available	TMT131	not applicable	TMT_set_1	1	1	20220323_SST_cnic_SCP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type
MYC_4	Mus musculus	heart	cardiac muscle cell	cell	single cell	normal	adult	male	not available	Myc overexpression	manual picking	MYC_4	1	4	20220323_SST_cnic_SCP_1-TMT130C	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT130C	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	not available	TMT131	not applicable	TMT_set_1	1	1	20220323_SST_cnic_SCP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Myc overexpression
booster_TMT1	Mus musculus	heart	cardiac muscle cell	cell	carrier	normal	adult	male	not available	not applicable	not applicable	carrier	200	pooled	20220323_SST_cnic_SCP_1-TMT131	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT131	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	not available	TMT131	not applicable	TMT_set_1	1	1	20220323_SST_cnic_SCP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	not applicable
MYC_5	Mus musculus	heart	cardiac muscle cell	cell	single cell	normal	adult	male	not available	Myc overexpression	manual picking	MYC_5	1	5	20220323_SST_cnic_SCP_2-TMT126	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT126	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	15 ppm	not available	TMT131	not applicable	TMT_set_2	1	1	20220323_SST_cnic_SCP_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Myc overexpression
