source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[passage number]	characteristics[culture medium]	characteristics[treatment]	characteristics[cell cycle phase]	characteristics[cell viability]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[carrier channel]	comment[reference channel]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell cycle phase]
HeLa_SC_NB_20201009_001	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201009_001	1	1	run 1	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_01_S3-G2_1_3873.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
HeLa_SC_NB_20201009_002	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201009_002	1	2	run 2	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_02_S3-G3_1_3874.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
HeLa_SC_NB_20201009_003	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201009_003	1	3	run 3	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_03_S3-G4_1_3875.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
HeLa_SC_NB_20201009_004	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201009_004	1	4	run 4	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_04_S3-G5_1_3876.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
HeLa_SC_NB_20201009_005	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201009_005	1	5	run 5	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_05_S3-G6_1_3877.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
HeLa_SC_NB_20201009_006	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201009_006	1	6	run 6	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_06_S3-G7_1_3878.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
HeLa_SC_NB_20201009_010	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201009_010	1	7	run 7	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_10_S3-G11_1_3882.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
HeLa_SC_NB_20201009_011	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201009_011	1	8	run 8	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_11_S3-G12_1_3883.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
HeLa_SC_NB_20201009_015	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201009_015	1	9	run 9	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_15_S3-H5_1_3888.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
HeLa_SC_NB_20201009_017	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201009_017	1	10	run 10	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_17_S3-H7_1_3890.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
