source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[passage number]	characteristics[culture medium]	characteristics[treatment]	characteristics[cell cycle phase]	characteristics[cell viability]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[carrier channel]	comment[reference channel]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell cycle phase]
HeLa_SC_NB_20201009_018	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201009_018	1	11	run 11	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_18_S3-H8_1_3891.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
HeLa_SC_NB_20201009_021	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201009_021	1	12	run 12	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_21_S3-H11_1_3894.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
HeLa_SC_NB_20201009_022	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201009_022	1	13	run 13	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201009_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_22_S3-H12_1_3895.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
HeLa_SC_NB_20201010_001	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201010_001	1	14	run 14	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_01_S5-B2_1_3909.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
HeLa_SC_NB_20201010_003	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201010_003	1	15	run 15	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_03_S5-B4_1_3911.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
HeLa_SC_NB_20201010_005	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201010_005	1	16	run 16	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_05_S5-B6_1_3913.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
HeLa_SC_NB_20201010_006	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201010_006	1	17	run 17	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_06_S5-B7_1_3914.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
HeLa_SC_NB_20201010_007	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201010_007	1	18	run 18	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_07_S5-B8_1_3915.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
HeLa_SC_NB_20201010_008	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201010_008	1	19	run 19	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_08_S5-B9_1_3916.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
HeLa_SC_NB_20201010_009	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	not applicable	not available	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=Nocodazole;AC=NCIT:C75228	G2/M	live	NT=single cell;AC=PRIDE:0000897	FACS	NB_20201010_009	1	20	run 20	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not applicable	not applicable	blocked_set	1	1	20201010_TIMS04_Evo07_AnBr_1Cell_HeLa_NB_09_S5-B10_1_3917.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	G2/M
