source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[disease]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[cells per well]	characteristics[cell identifier]	characteristics[single cell isolation protocol]	characteristics[enrichment marker]	characteristics[cell viability]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[facs sorting mode]	comment[facs nozzle size]	comment[nanopots chip version]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell type]
Exp1_FMhigh_5cell_2	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=vestibular hair cell;AC=CL:0000609	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	5	not applicable	FACS	FM1-43-high	live	2	run 11	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	700579_Single_Hair_Cell_OHSU_5cell_High_090618_2_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=vestibular hair cell;AC=CL:0000609
Exp1_FMhigh_5cell_3	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=vestibular hair cell;AC=CL:0000609	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	5	not applicable	FACS	FM1-43-high	live	3	run 12	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	700584_Single_Hair_Cell_OHSU_5cell_High_090618_3_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=vestibular hair cell;AC=CL:0000609
Exp1_FMhigh_5cell_4	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=vestibular hair cell;AC=CL:0000609	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	5	not applicable	FACS	FM1-43-high	live	4	run 13	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	700730_Single_Hair_Cell_OHSU_5cell_High_090618_4_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=vestibular hair cell;AC=CL:0000609
Exp1_FMhigh_20cell_1	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=vestibular hair cell;AC=CL:0000609	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	20	not applicable	FACS	FM1-43-high	live	1	run 14	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	700526_Single_Hair_Cell_OHSU_20cell_High_090618_1_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=vestibular hair cell;AC=CL:0000609
Exp1_FMhigh_20cell_2	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=vestibular hair cell;AC=CL:0000609	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	20	not applicable	FACS	FM1-43-high	live	2	run 15	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	700533_Single_Hair_Cell_OHSU_20cell_High_090618_2_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=vestibular hair cell;AC=CL:0000609
Exp1_FMhigh_20cell_3	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=vestibular hair cell;AC=CL:0000609	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	20	not applicable	FACS	FM1-43-high	live	3	run 16	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	700539_Single_Hair_Cell_OHSU_20cell_High_090618_3_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=vestibular hair cell;AC=CL:0000609
Exp1_FMhigh_20cell_4	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=vestibular hair cell;AC=CL:0000609	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	20	not applicable	FACS	FM1-43-high	live	4	run 17	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	700567_Single_Hair_Cell_OHSU_20cell_High_090618_4_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=vestibular hair cell;AC=CL:0000609
Exp1_FMlow_1cell_1	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=supporting cell;AC=CL:0000630	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=single cell;AC=PRIDE:0000897	not pooled	1	Exp1_FMlow_1cell_1	FACS	FM1-43-low	live	1	run 18	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	701295_Single_Hair_Cell_OHSU_1cell_Low_090618_1_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=supporting cell;AC=CL:0000630
Exp1_FMlow_1cell_2	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=supporting cell;AC=CL:0000630	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=single cell;AC=PRIDE:0000897	not pooled	1	Exp1_FMlow_1cell_2	FACS	FM1-43-low	live	2	run 19	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	701368_Single_Hair_Cell_OHSU_1cell_Low_090618_2_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=supporting cell;AC=CL:0000630
Exp1_FMlow_1cell_3	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=supporting cell;AC=CL:0000630	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=single cell;AC=PRIDE:0000897	not pooled	1	Exp1_FMlow_1cell_3	FACS	FM1-43-low	live	3	run 20	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	701372_Single_Hair_Cell_OHSU_1cell_Low_090618_3_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=supporting cell;AC=CL:0000630
Exp1_FMlow_1cell_5	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=supporting cell;AC=CL:0000630	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=single cell;AC=PRIDE:0000897	not pooled	1	Exp1_FMlow_1cell_5	FACS	FM1-43-low	live	4	run 21	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	701377_Single_Hair_Cell_OHSU_1cell_Low_090618_5_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=supporting cell;AC=CL:0000630
Exp1_FMlow_3cell_1	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=supporting cell;AC=CL:0000630	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	3	not applicable	FACS	FM1-43-low	live	1	run 22	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	701278_Single_Hair_Cell_OHSU_3cell_Low_090618_1_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=supporting cell;AC=CL:0000630
Exp1_FMlow_3cell_2	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=supporting cell;AC=CL:0000630	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	3	not applicable	FACS	FM1-43-low	live	2	run 23	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	701280_Single_Hair_Cell_OHSU_3cell_Low_090618_2_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=supporting cell;AC=CL:0000630
Exp1_FMlow_3cell_3	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=supporting cell;AC=CL:0000630	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	3	not applicable	FACS	FM1-43-low	live	3	run 24	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	701282_Single_Hair_Cell_OHSU_3cell_Low_090618_3_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=supporting cell;AC=CL:0000630
Exp1_FMlow_5cell_1	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=supporting cell;AC=CL:0000630	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	5	not applicable	FACS	FM1-43-low	live	1	run 25	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	701243_Single_Hair_Cell_OHSU_5cell_Low_090618_1_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=supporting cell;AC=CL:0000630
Exp1_FMlow_5cell_2	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=supporting cell;AC=CL:0000630	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	5	not applicable	FACS	FM1-43-low	live	2	run 26	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	701251_Single_Hair_Cell_OHSU_5cell_Low_090618_2_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=supporting cell;AC=CL:0000630
Exp1_FMlow_5cell_3	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=supporting cell;AC=CL:0000630	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	5	not applicable	FACS	FM1-43-low	live	3	run 27	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	701250_Single_Hair_Cell_OHSU_5cell_Low_090618_3_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=supporting cell;AC=CL:0000630
Exp1_FMlow_5cell_4	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=supporting cell;AC=CL:0000630	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	5	not applicable	FACS	FM1-43-low	live	4	run 28	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	701253_Single_Hair_Cell_OHSU_5cell_Low_090618_4_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=supporting cell;AC=CL:0000630
Exp1_FMlow_20cell_2	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=supporting cell;AC=CL:0000630	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	20	not applicable	FACS	FM1-43-low	live	1	run 29	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	701199_Single_Hair_Cell_OHSU_20cell_Low_090618_2_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=supporting cell;AC=CL:0000630
