source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[disease]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[cells per well]	characteristics[cell identifier]	characteristics[single cell isolation protocol]	characteristics[enrichment marker]	characteristics[cell viability]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[facs sorting mode]	comment[facs nozzle size]	comment[nanopots chip version]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell type]
Exp1_FMhigh_1cell_1	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=vestibular hair cell;AC=CL:0000609	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=single cell;AC=PRIDE:0000897	not pooled	1	Exp1_FMhigh_1cell_1	FACS	FM1-43-high	live	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	701155_Single_Hair_Cell_OHSU_1cell_High_090618_1_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=vestibular hair cell;AC=CL:0000609
Exp1_FMhigh_1cell_2	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=vestibular hair cell;AC=CL:0000609	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=single cell;AC=PRIDE:0000897	not pooled	1	Exp1_FMhigh_1cell_2	FACS	FM1-43-high	live	2	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	701157_Single_Hair_Cell_OHSU_1cell_High_090618_2_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=vestibular hair cell;AC=CL:0000609
Exp1_FMhigh_1cell_3	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=vestibular hair cell;AC=CL:0000609	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=single cell;AC=PRIDE:0000897	not pooled	1	Exp1_FMhigh_1cell_3	FACS	FM1-43-high	live	3	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	701166_Single_Hair_Cell_OHSU_1cell_High_090618_3_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=vestibular hair cell;AC=CL:0000609
Exp1_FMhigh_1cell_4	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=vestibular hair cell;AC=CL:0000609	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=single cell;AC=PRIDE:0000897	not pooled	1	Exp1_FMhigh_1cell_4	FACS	FM1-43-high	live	4	run 4	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	701176_Single_Hair_Cell_OHSU_1cell_High_090618_4_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=vestibular hair cell;AC=CL:0000609
Exp1_FMhigh_1cell_5	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=vestibular hair cell;AC=CL:0000609	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=single cell;AC=PRIDE:0000897	not pooled	1	Exp1_FMhigh_1cell_5	FACS	FM1-43-high	live	5	run 5	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	701190_Single_Hair_Cell_OHSU_1cell_High_090618_5_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=vestibular hair cell;AC=CL:0000609
Exp1_FMhigh_3cell_1	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=vestibular hair cell;AC=CL:0000609	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	3	not applicable	FACS	FM1-43-high	live	1	run 6	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	700739_Single_Hair_Cell_OHSU_3cell_High_090618_1_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=vestibular hair cell;AC=CL:0000609
Exp1_FMhigh_3cell_2	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=vestibular hair cell;AC=CL:0000609	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	3	not applicable	FACS	FM1-43-high	live	2	run 7	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	700740_Single_Hair_Cell_OHSU_3cell_High_090618_2_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=vestibular hair cell;AC=CL:0000609
Exp1_FMhigh_3cell_3	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=vestibular hair cell;AC=CL:0000609	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	3	not applicable	FACS	FM1-43-high	live	3	run 8	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	700750_Single_Hair_Cell_OHSU_3cell_High_090618_3_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=vestibular hair cell;AC=CL:0000609
Exp1_FMhigh_3cell_4	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=vestibular hair cell;AC=CL:0000609	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	3	not applicable	FACS	FM1-43-high	live	4	run 9	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	701129_Single_Hair_Cell_OHSU_3cell_High_090618_4_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=vestibular hair cell;AC=CL:0000609
Exp1_FMhigh_5cell_1	NT=Gallus gallus;AC=NCBITaxon:9031	NT=macula of utricle of membranous labyrinth;AC=UBERON:0002214	NT=vestibular hair cell;AC=CL:0000609	NT=embryo stage;AC=EFO:0007725	not available	not available	NT=normal;AC=PATO:0000461	cell	NT=pooled;AC=PRIDE:0000902	pooled	5	not applicable	FACS	FM1-43-high	live	1	run 10	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	single cell	85 um	5x13 nanowell chip	Experiment 1	1	1	700576_Single_Hair_Cell_OHSU_5cell_High_090618_1_30um_031218_300bar.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=vestibular hair cell;AC=CL:0000609
