source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[individual]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[phenotype]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[forward scatter]	characteristics[side scatter]	characteristics[enrichment marker]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[carrier channel]	comment[reference channel]	comment[facs nozzle size]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
500ms_carrier	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	equimolar 1:1:1 mix of blast, progenitor and leukemia stem cell	NT=carrier;AC=PRIDE:0000901	FACS	carrier	200	not applicable	not applicable	not applicable	pooled	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT126;AC=PRIDE:0000516	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	500ms	1	1	20200514_MK_ES_E1200_precol_scMS_500ms_8227_P5_S1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	equimolar 1:1:1 mix of blast, progenitor and leukemia stem cell
500ms_B1	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	500ms_B1	1	338	270	CD34:APC-Cy7-A=204;CD38:PE-A=223	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT127N;AC=PRIDE:0000519	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	500ms	1	1	20200514_MK_ES_E1200_precol_scMS_500ms_8227_P5_S1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38-)
500ms_D1	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	500ms_D1	1	353	361	CD34:APC-Cy7-A=315;CD38:PE-A=297	2	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT128N;AC=PRIDE:0000522	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	500ms	1	1	20200514_MK_ES_E1200_precol_scMS_500ms_8227_P5_S1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38-)
500ms_G1	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	progenitor (CD34+ CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	500ms_G1	1	282	321	CD34:APC-Cy7-A=608;CD38:PE-A=699	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT128C;AC=PRIDE:0000521	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	500ms	1	1	20200514_MK_ES_E1200_precol_scMS_500ms_8227_P5_S1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	progenitor (CD34+ CD38+)
500ms_M1	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	leukemia stem cell (CD34+ CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	500ms_M1	1	377	540	CD34:APC-Cy7-A=637;CD38:PE-A=202	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT129N;AC=PRIDE:0000525	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	500ms	1	1	20200514_MK_ES_E1200_precol_scMS_500ms_8227_P5_S1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	leukemia stem cell (CD34+ CD38-)
500ms_E1	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	500ms_E1	1	345	369	CD34:APC-Cy7-A=262;CD38:PE-A=444	3	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT129C;AC=PRIDE:0000524	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	500ms	1	1	20200514_MK_ES_E1200_precol_scMS_500ms_8227_P5_S1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38-)
500ms_P1	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	leukemia stem cell (CD34+ CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	500ms_P1	1	348	334	CD34:APC-Cy7-A=671;CD38:PE-A=229	2	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT130N;AC=PRIDE:0000528	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	500ms	1	1	20200514_MK_ES_E1200_precol_scMS_500ms_8227_P5_S1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	leukemia stem cell (CD34+ CD38-)
500ms_K1	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	progenitor (CD34+ CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	500ms_K1	1	294	422	CD34:APC-Cy7-A=530;CD38:PE-A=573	2	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT130C;AC=PRIDE:0000527	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	500ms	1	1	20200514_MK_ES_E1200_precol_scMS_500ms_8227_P5_S1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	progenitor (CD34+ CD38+)
500ms_I1	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	progenitor (CD34+ CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	500ms_I1	1	363	363	CD34:APC-Cy7-A=576;CD38:PE-A=722	3	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT131N;AC=PRIDE:0000580	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	500ms	1	1	20200514_MK_ES_E1200_precol_scMS_500ms_8227_P5_S1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	progenitor (CD34+ CD38+)
500ms_F1	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	500ms_F1	1	323	259	CD34:APC-Cy7-A=336;CD38:PE-A=312	4	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT131C;AC=PRIDE:0000581	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	not applicable	100 um	500ms	1	1	20200514_MK_ES_E1200_precol_scMS_500ms_8227_P5_S1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38-)
