source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[individual]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[phenotype]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[forward scatter]	characteristics[side scatter]	characteristics[enrichment marker]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[carrier channel]	comment[reference channel]	comment[facs nozzle size]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
bulk_b_2_C3	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	bulk_b_2_C3	1	235	250	CD34:APC-Cy7-A=288;CD38:PE-A=321	522	run 90	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT130C;AC=PRIDE:0000527	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38-)
bulk_b_2_C9	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	bulk_b_2_C9	1	271	394	CD34:APC-Cy7-A=329;CD38:PE-A=304	523	run 90	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT131N;AC=PRIDE:0000580	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38-)
bulk_b_2_C1	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	bulk_b_2_C1	1	261	382	CD34:APC-Cy7-A=177;CD38:PE-A=225	524	run 90	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT131C;AC=PRIDE:0000581	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38-)
bulk_b_2_C4	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	bulk_b_2_C4	1	247	251	CD34:APC-Cy7-A=247;CD38:PE-A=616	206	run 90	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT132N;AC=PRIDE:0000582	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38+)
bulk_b_2_C11	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	bulk_b_2_C11	1	330	426	CD34:APC-Cy7-A=284;CD38:PE-A=383	525	run 90	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT132C;AC=PRIDE:0000583	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38-)
bulk_b_2_C12	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	bulk_b_2_C12	1	227	196	CD34:APC-Cy7-A=382;CD38:PE-A=371	526	run 90	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT133N;AC=PRIDE:0000632	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38-)
bulk_b_2_C8	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	bulk_b_2_C8	1	264	459	CD34:APC-Cy7-A=298;CD38:PE-A=404	527	run 90	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT133C;AC=PRIDE:0000633	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38-)
bulk_b_2_C7	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	bulk_b_2_C7	1	235	258	CD34:APC-Cy7-A=206;CD38:PE-A=650	207	run 90	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT134N;AC=PRIDE:0000643	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38+)
bulk_b_2_carrier	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	unsorted OCI-AML8227 culture	NT=carrier;AC=PRIDE:0000901	FACS	carrier	200	not applicable	not applicable	not applicable	pooled	run 81	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT126;AC=PRIDE:0000516	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	unsorted OCI-AML8227 culture
bulk_b_2_reference	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	unsorted OCI-AML8227 culture	NT=reference;AC=PRIDE:0000899	FACS	reference	10	not applicable	not applicable	not applicable	pooled	run 81	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT127N;AC=PRIDE:0000519	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	unsorted OCI-AML8227 culture
bulk_b_2_B20	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	bulk_b_2_B20	1	321	488	CD34:APC-Cy7-A=362;CD38:PE-A=297	528	run 81	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT128N;AC=PRIDE:0000522	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38-)
bulk_b_2_A22	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	bulk_b_2_A22	1	246	231	CD34:APC-Cy7-A=313;CD38:PE-A=258	529	run 81	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT128C;AC=PRIDE:0000521	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38-)
bulk_b_2_B19	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	bulk_b_2_B19	1	291	400	CD34:APC-Cy7-A=270;CD38:PE-A=682	208	run 81	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT129N;AC=PRIDE:0000525	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38+)
bulk_b_2_B18	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	bulk_b_2_B18	1	237	308	CD34:APC-Cy7-A=447;CD38:PE-A=273	530	run 81	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT129C;AC=PRIDE:0000524	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38-)
bulk_b_2_B17	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	bulk_b_2_B17	1	267	291	CD34:APC-Cy7-A=406;CD38:PE-A=271	531	run 81	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT130N;AC=PRIDE:0000528	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38-)
bulk_b_2_A20	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	bulk_b_2_A20	1	269	385	CD34:APC-Cy7-A=216;CD38:PE-A=473	209	run 81	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT130C;AC=PRIDE:0000527	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38+)
bulk_b_2_A18	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	bulk_b_2_A18	1	301	459	CD34:APC-Cy7-A=302;CD38:PE-A=602	210	run 81	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT131N;AC=PRIDE:0000580	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38+)
bulk_b_2_B21	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38+)	NT=single cell;AC=PRIDE:0000897	FACS	bulk_b_2_B21	1	320	412	CD34:APC-Cy7-A=269;CD38:PE-A=596	211	run 81	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT131C;AC=PRIDE:0000581	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38+)
bulk_b_2_A19	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	bulk_b_2_A19	1	240	231	CD34:APC-Cy7-A=224;CD38:PE-A=275	532	run 81	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT132N;AC=PRIDE:0000582	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38-)
bulk_b_2_A17	NT=Homo sapiens;AC=NCBITaxon:9606	not available	NT=acute myeloid leukemia;AC=MONDO:0018874	NT=acute myeloid leukemia cell;AC=BTO:0001545	OCI-AML8227	not available	not available	not available	blast (CD34- CD38-)	NT=single cell;AC=PRIDE:0000897	FACS	bulk_b_2_A17	1	245	250	CD34:APC-Cy7-A=328;CD38:PE-A=334	533	run 81	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT132C;AC=PRIDE:0000583	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	NT=HCD;AC=PRIDE:0000590	32% NCE	not available	not available	TMTpro126	TMTpro127N	100 um	bulk_b_2	1	1	20200829_MK_ES_E1200_precol_scMS_160mins_500ms_8227_bulk_b_P2_S17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	blast (CD34- CD38-)
