source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[cell type]	characteristics[disease]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms min mz]	comment[ms max mz]	comment[carrier channel]	comment[reference channel]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell type]
Xla_blastomere_cell_1	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastoderm cell;AC=CL:0000353	NT=normal;AC=PATO:0000461	not available	not available	cell	NT=single cell;AC=PRIDE:0000897	manual picking	cell_1	1	1	run 1	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_13_BS02_cell_1_ddaPASEF.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_1	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastoderm cell;AC=CL:0000353	NT=normal;AC=PATO:0000461	not available	not available	cell	NT=single cell;AC=PRIDE:0000897	manual picking	cell_1	1	1	run 2	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_13_BS03_cell_1_EcoddaPASEF.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_2	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastoderm cell;AC=CL:0000353	NT=normal;AC=PATO:0000461	not available	not available	cell	NT=single cell;AC=PRIDE:0000897	manual picking	cell_2	1	2	run 3	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_14_BS01_cell_2_ddaPASEF.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_2	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastoderm cell;AC=CL:0000353	NT=normal;AC=PATO:0000461	not available	not available	cell	NT=single cell;AC=PRIDE:0000897	manual picking	cell_2	1	2	run 4	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_14_BS02_cell_2_EcoddaPASEF.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_3	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastoderm cell;AC=CL:0000353	NT=normal;AC=PATO:0000461	not available	not available	cell	NT=single cell;AC=PRIDE:0000897	manual picking	cell_3	1	3	run 5	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_14_BS03_cell_3_ddaPASEF.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_3	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastoderm cell;AC=CL:0000353	NT=normal;AC=PATO:0000461	not available	not available	cell	NT=single cell;AC=PRIDE:0000897	manual picking	cell_3	1	3	run 6	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_18_BS02_cell_3_EcoddaPASEF.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_4	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastoderm cell;AC=CL:0000353	NT=normal;AC=PATO:0000461	not available	not available	cell	NT=single cell;AC=PRIDE:0000897	manual picking	cell_4	1	4	run 7	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_14_BS04_cell_4_ddaPASEF.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_4	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastoderm cell;AC=CL:0000353	NT=normal;AC=PATO:0000461	not available	not available	cell	NT=single cell;AC=PRIDE:0000897	manual picking	cell_4	1	4	run 8	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_14_BS05_cell_4_EcoddaPASEF.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_5	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastoderm cell;AC=CL:0000353	NT=normal;AC=PATO:0000461	not available	not available	cell	NT=single cell;AC=PRIDE:0000897	manual picking	cell_5	1	5	run 9	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_17_BS03_cell_5_ddaPASEF.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_5	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastoderm cell;AC=CL:0000353	NT=normal;AC=PATO:0000461	not available	not available	cell	NT=single cell;AC=PRIDE:0000897	manual picking	cell_5	1	5	run 10	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_17_BS02_cell_5_EcoddaPASEF.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=blastoderm cell;AC=CL:0000353
