source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[cell type]	characteristics[disease]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms min mz]	comment[ms max mz]	comment[carrier channel]	comment[reference channel]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell type]
Xla_blastomere_cell_6	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastoderm cell;AC=CL:0000353	NT=normal;AC=PATO:0000461	not available	not available	cell	NT=single cell;AC=PRIDE:0000897	manual picking	cell_6	1	6	run 11	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_19_BS03_cell_6_ddaPASEF.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_6	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastoderm cell;AC=CL:0000353	NT=normal;AC=PATO:0000461	not available	not available	cell	NT=single cell;AC=PRIDE:0000897	manual picking	cell_6	1	6	run 12	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_19_BS02_cell_6_EcoddaPASEF.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_7	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastoderm cell;AC=CL:0000353	NT=normal;AC=PATO:0000461	not available	not available	cell	NT=single cell;AC=PRIDE:0000897	manual picking	cell_7	1	7	run 13	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_27_BS04_cell_7_ddaPASEF.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_7	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastoderm cell;AC=CL:0000353	NT=normal;AC=PATO:0000461	not available	not available	cell	NT=single cell;AC=PRIDE:0000897	manual picking	cell_7	1	7	run 14	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_07_27_BS05_cell_7_EcoddaPASEF.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_8	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastoderm cell;AC=CL:0000353	NT=normal;AC=PATO:0000461	not available	not available	cell	NT=single cell;AC=PRIDE:0000897	manual picking	cell_8	1	8	run 15	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_8_2_BS03_cell_8_ddaPASEF_.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_8	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastoderm cell;AC=CL:0000353	NT=normal;AC=PATO:0000461	not available	not available	cell	NT=single cell;AC=PRIDE:0000897	manual picking	cell_8	1	8	run 16	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_8_2_BS02_cell_8_EcoddaPASEF_.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_9	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastoderm cell;AC=CL:0000353	NT=normal;AC=PATO:0000461	not available	not available	cell	NT=single cell;AC=PRIDE:0000897	manual picking	cell_9	1	9	run 17	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_8_2_BS05_cell_9_ddaPASEF_.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=blastoderm cell;AC=CL:0000353
Xla_blastomere_cell_9	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastoderm cell;AC=CL:0000353	NT=normal;AC=PATO:0000461	not available	not available	cell	NT=single cell;AC=PRIDE:0000897	manual picking	cell_9	1	9	run 18	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2023_8_2_BS04_cell_9_EcoddaPASEF_.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=blastoderm cell;AC=CL:0000353
HeLa_500pg_standard	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not applicable	cell line	NT=standard;AC=PRIDE:0000908	not applicable	not applicable	not applicable	1	run 19	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2022_10_24_BS04_500pg_HeLa_ddaPASEF_control_22kV_TR1.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_500pg_standard	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not applicable	cell line	NT=standard;AC=PRIDE:0000908	not applicable	not applicable	not applicable	1	run 20	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	2	2022_10_25_BS01_500pg_HeLa_ddaPASEF_control_22kV_TR2.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_500pg_standard	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not applicable	cell line	NT=standard;AC=PRIDE:0000908	not applicable	not applicable	not applicable	1	run 21	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	3	2022_10_25_BS02_500pg_HeLa_ddaPASEF_control_22kV_TR3.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_500pg_standard	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not applicable	cell line	NT=standard;AC=PRIDE:0000908	not applicable	not applicable	not applicable	1	run 22	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	4	2022_10_25_BS04_500pg_HeLa_ddaPASEF_control_22kV_TR4.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_500pg_standard	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not applicable	cell line	NT=standard;AC=PRIDE:0000908	not applicable	not applicable	not applicable	1	run 23	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	5	2022_10_26_BS03_500pg_HeLa_ddaPASEF_control_22kV_TR5.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_500pg_standard	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=adult;AC=EFO:0001272	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not applicable	cell line	NT=standard;AC=PRIDE:0000908	not applicable	not applicable	not applicable	1	run 24	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=time-of-flight;AC=MS:1000084	not available	not available	300m/z	1500m/z	not applicable	not applicable	1	1	2022_10_25_BS06_500pg_HeLa_EcoddaPASEF_22kV_TR1.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa cell;AC=CLO:0003684
