source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[culture medium]	characteristics[passage number]	characteristics[sample storage temperature]	characteristics[treatment]	characteristics[cell cycle phase]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[fixation]
HeLa_nocodazole_FA_1cell_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Nocodazole;AC=NCIT:C75228	M	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_nocodazole_FA_1cell_1	1	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	not available	1	1	20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_Fixed_30min_1cell_1.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	formaldehyde
HeLa_nocodazole_FA_1cell_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Nocodazole;AC=NCIT:C75228	M	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_nocodazole_FA_1cell_2	1	2	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	not available	1	1	20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_Fixed_30min_1cell_10.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	formaldehyde
HeLa_nocodazole_FA_1cell_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Nocodazole;AC=NCIT:C75228	M	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_nocodazole_FA_1cell_3	1	3	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	not available	1	1	20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_Fixed_30min_1cell_11.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	formaldehyde
HeLa_nocodazole_FA_1cell_4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Nocodazole;AC=NCIT:C75228	M	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_nocodazole_FA_1cell_4	1	4	run 4	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	not available	1	1	20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_Fixed_30min_1cell_12.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	formaldehyde
HeLa_nocodazole_FA_1cell_5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Nocodazole;AC=NCIT:C75228	M	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_nocodazole_FA_1cell_5	1	5	run 5	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	not available	1	1	20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_Fixed_30min_1cell_2.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	formaldehyde
HeLa_nocodazole_FA_1cell_6	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Nocodazole;AC=NCIT:C75228	M	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_nocodazole_FA_1cell_6	1	6	run 6	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	not available	1	1	20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_Fixed_30min_1cell_3.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	formaldehyde
HeLa_nocodazole_FA_1cell_7	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Nocodazole;AC=NCIT:C75228	M	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_nocodazole_FA_1cell_7	1	7	run 7	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	not available	1	1	20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_Fixed_30min_1cell_4.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	formaldehyde
HeLa_nocodazole_FA_1cell_8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Nocodazole;AC=NCIT:C75228	M	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_nocodazole_FA_1cell_8	1	8	run 8	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	not available	1	1	20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_Fixed_30min_1cell_5.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	formaldehyde
HeLa_nocodazole_FA_1cell_9	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Nocodazole;AC=NCIT:C75228	M	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_nocodazole_FA_1cell_9	1	9	run 9	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	not available	1	1	20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_Fixed_30min_1cell_6.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	formaldehyde
HeLa_nocodazole_FA_1cell_10	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	cell line	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=African American;AC=HANCESTRO:0568	30Y6M	female	NT=adult;AC=EFO:0001272	HeLa donor	DMEM, 10% FBS, 1% penicillin/streptomycin	not available	not available	NT=Nocodazole;AC=NCIT:C75228	M	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_nocodazole_FA_1cell_10	1	10	run 10	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	380	980	4	not available	1	1	20231028_AST1_Evo3_IP_40SPD_4Th6ms_DIA_Released_Fixed_30min_1cell_7.raw	v1.1.0	NT=sdrf-skills;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	formaldehyde
