source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[treatment]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[dissociation method]	comment[proteomics data acquisition method]	comment[dia method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
HeLa_singlecell_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	not applicable	single cell	cellenONE	HeLa_singlecell_1	1	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	2	20230809	1	1	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_2Th3ms_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable
HeLa_singlecell_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	not applicable	single cell	cellenONE	HeLa_singlecell_2	1	2	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	2	20230809	1	1	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_2Th3ms_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable
HeLa_singlecell_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	not applicable	single cell	cellenONE	HeLa_singlecell_3	1	3	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	2	20230809	1	1	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_2Th3ms_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable
HeLa_singlecell_4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	not applicable	single cell	cellenONE	HeLa_singlecell_4	1	4	run 4	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	2	20230809	1	1	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_2Th3ms_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable
HeLa_singlecell_5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	not applicable	single cell	cellenONE	HeLa_singlecell_5	1	5	run 5	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	2	20230809	1	1	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_2Th3ms_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable
HeLa_singlecell_6	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	not applicable	single cell	cellenONE	HeLa_singlecell_6	1	6	run 6	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	2	20230809	1	1	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_2Th3ms_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable
HeLa_singlecell_7	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	not applicable	single cell	cellenONE	HeLa_singlecell_7	1	7	run 7	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	2	20230809	1	1	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_2Th3ms_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable
HeLa_singlecell_8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	not applicable	single cell	cellenONE	HeLa_singlecell_8	1	8	run 8	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	2	20230809	1	1	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_2Th3ms_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable
HeLa_singlecell_9	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	not applicable	single cell	cellenONE	HeLa_singlecell_9	1	9	run 9	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	2	20230809	1	1	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_2Th3ms_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable
HeLa_singlecell_10	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	not applicable	single cell	cellenONE	HeLa_singlecell_10	1	10	run 10	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	Data-independent acquisition	not available	380	980	2	20230809	1	1	20230809_AST1_EVO5_ZY_Hela_SCP_EvoCHIP_1Cell_40SPD_2Th3ms_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable
