source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[cell type]	characteristics[disease]	characteristics[sex]	characteristics[strain or breed]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[developmental lineage]
D11-01	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastomere;AC=CL:0000353	normal	not applicable	not available	NT=single cell;AC=PRIDE:0000897	manual picking	D1	1	1	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	not available	20 ppm	not applicable	not applicable	NT=orbitrap;AC=MS:1000484	1	1	2024_02_13_BS01_D1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	dorsal-animal midline (D11, neural-fated)
D11-02	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastomere;AC=CL:0000353	normal	not applicable	not available	NT=single cell;AC=PRIDE:0000897	manual picking	D2	1	2	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	not available	20 ppm	not applicable	not applicable	NT=orbitrap;AC=MS:1000484	1	1	2024_02_13_BS02_D2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	dorsal-animal midline (D11, neural-fated)
D11-03	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastomere;AC=CL:0000353	normal	not applicable	not available	NT=single cell;AC=PRIDE:0000897	manual picking	D3	1	3	run 3	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	not available	20 ppm	not applicable	not applicable	NT=orbitrap;AC=MS:1000484	1	1	2024_02_13_BS03_D3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	dorsal-animal midline (D11, neural-fated)
D11-04	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastomere;AC=CL:0000353	normal	not applicable	not available	NT=single cell;AC=PRIDE:0000897	manual picking	D4	1	4	run 4	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	not available	20 ppm	not applicable	not applicable	NT=orbitrap;AC=MS:1000484	1	1	2024_02_13_BS04_D4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	dorsal-animal midline (D11, neural-fated)
D11-05	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastomere;AC=CL:0000353	normal	not applicable	not available	NT=single cell;AC=PRIDE:0000897	manual picking	D5	1	5	run 5	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	not available	20 ppm	not applicable	not applicable	NT=orbitrap;AC=MS:1000484	1	1	2024_02_15_BS02_D5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	dorsal-animal midline (D11, neural-fated)
D11-06	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastomere;AC=CL:0000353	normal	not applicable	not available	NT=single cell;AC=PRIDE:0000897	manual picking	D6	1	6	run 6	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	not available	20 ppm	not applicable	not applicable	NT=orbitrap;AC=MS:1000484	1	1	2024_02_15_BS03_D6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	dorsal-animal midline (D11, neural-fated)
D11-07	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastomere;AC=CL:0000353	normal	not applicable	not available	NT=single cell;AC=PRIDE:0000897	manual picking	D7	1	7	run 7	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	not available	20 ppm	not applicable	not applicable	NT=orbitrap;AC=MS:1000484	1	1	2024_02_15_BS04_D7.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	dorsal-animal midline (D11, neural-fated)
D11-08	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastomere;AC=CL:0000353	normal	not applicable	not available	NT=single cell;AC=PRIDE:0000897	manual picking	D8	1	8	run 8	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	not available	20 ppm	not applicable	not applicable	NT=orbitrap;AC=MS:1000484	1	1	2024_02_15_BS05_D8.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	dorsal-animal midline (D11, neural-fated)
V11-01	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastomere;AC=CL:0000353	normal	not applicable	not available	NT=single cell;AC=PRIDE:0000897	manual picking	V1	1	1	run 9	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	not available	20 ppm	not applicable	not applicable	NT=orbitrap;AC=MS:1000484	1	1	2024_02_13_BS06_V1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	ventral-animal midline (V11, epidermal-fated)
V11-02	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastomere;AC=CL:0000353	normal	not applicable	not available	NT=single cell;AC=PRIDE:0000897	manual picking	V2	1	2	run 10	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	not available	20 ppm	not applicable	not applicable	NT=orbitrap;AC=MS:1000484	1	1	2024_02_14_BS01_V2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	ventral-animal midline (V11, epidermal-fated)
V11-03	NT=Xenopus laevis;AC=NCBITaxon:8355	NT=animal hemisphere;AC=UBERON:0012284	NT=blastula stage;AC=UBERON:0000108	NT=blastomere;AC=CL:0000353	normal	not applicable	not available	NT=single cell;AC=PRIDE:0000897	manual picking	V3	1	3	run 11	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	not available	20 ppm	not applicable	not applicable	NT=orbitrap;AC=MS:1000484	1	1	2024_02_14_BS02_V3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	ventral-animal midline (V11, epidermal-fated)
