source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[treatment]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]
hFF_Div_sc_1	Homo sapiens	NT=prepuce of penis;AC=UBERON:0001332	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	hFF	not available	not available	not available	male	1	single cell	cellenONE	hFF_Div_sc_1	1	proliferating	run 1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20240719_AST5_Evo3_IO5cmL_PS_SC_pSILAC_hFF_Div_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	proliferating
hFF_Div_sc_2	Homo sapiens	NT=prepuce of penis;AC=UBERON:0001332	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	hFF	not available	not available	not available	male	2	single cell	cellenONE	hFF_Div_sc_2	1	proliferating	run 2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20240719_AST5_Evo3_IO5cmL_PS_SC_pSILAC_hFF_Div_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	proliferating
hFF_Div_sc_3	Homo sapiens	NT=prepuce of penis;AC=UBERON:0001332	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	hFF	not available	not available	not available	male	3	single cell	cellenONE	hFF_Div_sc_3	1	proliferating	run 3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20240719_AST5_Evo3_IO5cmL_PS_SC_pSILAC_hFF_Div_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	proliferating
hFF_Div_sc_4	Homo sapiens	NT=prepuce of penis;AC=UBERON:0001332	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	hFF	not available	not available	not available	male	4	single cell	cellenONE	hFF_Div_sc_4	1	proliferating	run 4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20240719_AST5_Evo3_IO5cmL_PS_SC_pSILAC_hFF_Div_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	proliferating
hFF_Div_sc_5	Homo sapiens	NT=prepuce of penis;AC=UBERON:0001332	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	hFF	not available	not available	not available	male	5	single cell	cellenONE	hFF_Div_sc_5	1	proliferating	run 5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20240719_AST5_Evo3_IO5cmL_PS_SC_pSILAC_hFF_Div_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	proliferating
hFF_Div_sc_6	Homo sapiens	NT=prepuce of penis;AC=UBERON:0001332	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	hFF	not available	not available	not available	male	6	single cell	cellenONE	hFF_Div_sc_6	1	proliferating	run 6	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20240719_AST5_Evo3_IO5cmL_PS_SC_pSILAC_hFF_Div_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	proliferating
hFF_Div_sc_7	Homo sapiens	NT=prepuce of penis;AC=UBERON:0001332	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	hFF	not available	not available	not available	male	7	single cell	cellenONE	hFF_Div_sc_7	1	proliferating	run 7	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20240719_AST5_Evo3_IO5cmL_PS_SC_pSILAC_hFF_Div_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	proliferating
hFF_Div_sc_8	Homo sapiens	NT=prepuce of penis;AC=UBERON:0001332	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	hFF	not available	not available	not available	male	8	single cell	cellenONE	hFF_Div_sc_8	1	proliferating	run 8	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20240719_AST5_Evo3_IO5cmL_PS_SC_pSILAC_hFF_Div_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	proliferating
hFF_Div_sc_9	Homo sapiens	NT=prepuce of penis;AC=UBERON:0001332	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	hFF	not available	not available	not available	male	9	single cell	cellenONE	hFF_Div_sc_9	1	proliferating	run 9	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20240719_AST5_Evo3_IO5cmL_PS_SC_pSILAC_hFF_Div_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	proliferating
hFF_Div_sc_10	Homo sapiens	NT=prepuce of penis;AC=UBERON:0001332	NT=fibroblast;AC=CL:0000057	NT=normal;AC=PATO:0000461	hFF	not available	not available	not available	male	10	single cell	cellenONE	hFF_Div_sc_10	1	proliferating	run 10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	SILAC	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Variable	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	380	980	4	1	1	20240719_AST5_Evo3_IO5cmL_PS_SC_pSILAC_hFF_Div_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	proliferating
