source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[material type]	characteristics[sample type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[organism]
Mm_C57BL6_kidney_bulk	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	not applicable	not applicable	not applicable	normal	tissue	not applicable	not available	not available	not available	C57BL/6	not applicable	not applicable	not applicable	1	run 1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	BulkTrainMusMusculusAstral1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available	not available	NT=Mus musculus;AC=NCBITaxon:10090
Mm_C57BL6_kidney_bulk	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	not applicable	not applicable	not applicable	normal	tissue	not applicable	not available	not available	not available	C57BL/6	not applicable	not applicable	not applicable	1	run 2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	2	BulkTrainMusMusculusAstral2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available	not available	NT=Mus musculus;AC=NCBITaxon:10090
Mm_C57BL6_kidney_bulk	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	not applicable	not applicable	not applicable	normal	tissue	not applicable	not available	not available	not available	C57BL/6	not applicable	not applicable	not applicable	1	run 3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	3	BulkTrainMusMusculusAstral3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available	not available	NT=Mus musculus;AC=NCBITaxon:10090
Mm_C57BL6_kidney_bulk	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	not applicable	not applicable	not applicable	normal	tissue	not applicable	not available	not available	not available	C57BL/6	not applicable	not applicable	not applicable	1	run 4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	4	BulkTrainMusMusculusAstral4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available	not available	NT=Mus musculus;AC=NCBITaxon:10090
Mm_C57BL6_kidney_bulk	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	not applicable	not applicable	not applicable	normal	tissue	not applicable	not available	not available	not available	C57BL/6	not applicable	not applicable	not applicable	1	run 5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	5	BulkTrainMusMusculusAstral5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available	not available	NT=Mus musculus;AC=NCBITaxon:10090
Mm_C57BL6_kidney_bulk	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	not applicable	not applicable	not applicable	normal	tissue	not applicable	not available	not available	not available	C57BL/6	not applicable	not applicable	not applicable	1	run 6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	6	BulkTrainMusMusculusAstral6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available	not available	NT=Mus musculus;AC=NCBITaxon:10090
Mm_C57BL6_kidney_bulk	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	not applicable	not applicable	not applicable	normal	tissue	not applicable	not available	not available	not available	C57BL/6	not applicable	not applicable	not applicable	1	run 7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	7	BulkTrainMusMusculusAstral7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available	not available	NT=Mus musculus;AC=NCBITaxon:10090
Mm_C57BL6_kidney_bulk	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	not applicable	not applicable	not applicable	normal	tissue	not applicable	not available	not available	not available	C57BL/6	not applicable	not applicable	not applicable	1	run 8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	8	BulkTrainMusMusculusAstral8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available	not available	NT=Mus musculus;AC=NCBITaxon:10090
Mm_C57BL6_kidney_bulk	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	not applicable	not applicable	not applicable	normal	tissue	not applicable	not available	not available	not available	C57BL/6	not applicable	not applicable	not applicable	1	run 9	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	9	BulkTrainMusMusculusAstral9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available	not available	NT=Mus musculus;AC=NCBITaxon:10090
Mm_C57BL6_kidney_bulk	NT=Mus musculus;AC=NCBITaxon:10090	NT=kidney;AC=UBERON:0002113	not applicable	not applicable	not applicable	not applicable	normal	tissue	not applicable	not available	not available	not available	C57BL/6	not applicable	not applicable	not applicable	1	run 10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	10	SSP_MusMusculus_TrainingAstral.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	not available	not available	NT=Mus musculus;AC=NCBITaxon:10090
