source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[carrier channel]	comment[reference channel]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell line]
Chip1_F2_TMT127N_light	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y6M	female	NT=African American;AC=HANCESTRO:0568	not applicable	not available	not available	-80 °C	NT=single cell;AC=PRIDE:0000897	cellenONE	Chip1_F2_TMT127N_light	1	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT127N;AC=PRIDE:0000519	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.6 Da	TCEP	2-chloroacetamide	TMT126	TMT134N	Chip1	1	1	Chip1_K562HeLa_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa;AC=EFO:0001185
Chip1_F2_TMT127N_heavy	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y6M	female	NT=African American;AC=HANCESTRO:0568	not applicable	not available	not available	-80 °C	NT=single cell;AC=PRIDE:0000897	cellenONE	Chip1_F2_TMT127N_heavy	1	2	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT127N;AC=PRIDE:0000519	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Fixed	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.6 Da	TCEP	2-chloroacetamide	TMT126	TMT134N	Chip1	1	1	Chip1_K562HeLa_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa;AC=EFO:0001185
Chip1_F2_TMT128N_light	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pleural effusion;AC=UBERON:0000175	not available	NT=chronic myeloid leukemia;AC=MONDO:0011996	NT=K562;AC=EFO:0002067	CVCL_0004	K-562	NT=adult;AC=EFO:0001272	53Y	female	not available	not applicable	not available	not available	-80 °C	NT=single cell;AC=PRIDE:0000897	cellenONE	Chip1_F2_TMT128N_light	1	1	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT128N;AC=PRIDE:0000522	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.6 Da	TCEP	2-chloroacetamide	TMT126	TMT134N	Chip1	1	1	Chip1_K562HeLa_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=K562;AC=EFO:0002067
Chip1_F2_TMT128C_light	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pleural effusion;AC=UBERON:0000175	not available	NT=chronic myeloid leukemia;AC=MONDO:0011996	NT=K562;AC=EFO:0002067	CVCL_0004	K-562	NT=adult;AC=EFO:0001272	53Y	female	not available	not applicable	not available	not available	-80 °C	NT=single cell;AC=PRIDE:0000897	cellenONE	Chip1_F2_TMT128C_light	1	2	run 4	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT128C;AC=PRIDE:0000521	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.6 Da	TCEP	2-chloroacetamide	TMT126	TMT134N	Chip1	1	1	Chip1_K562HeLa_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=K562;AC=EFO:0002067
Chip1_F2_TMT128C_heavy	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y6M	female	NT=African American;AC=HANCESTRO:0568	not applicable	not available	not available	-80 °C	NT=single cell;AC=PRIDE:0000897	cellenONE	Chip1_F2_TMT128C_heavy	1	3	run 5	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT128C;AC=PRIDE:0000521	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Fixed	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.6 Da	TCEP	2-chloroacetamide	TMT126	TMT134N	Chip1	1	1	Chip1_K562HeLa_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa;AC=EFO:0001185
Chip1_F2_TMT129N_light	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y6M	female	NT=African American;AC=HANCESTRO:0568	not applicable	not available	not available	-80 °C	NT=single cell;AC=PRIDE:0000897	cellenONE	Chip1_F2_TMT129N_light	1	4	run 6	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT129N;AC=PRIDE:0000525	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.6 Da	TCEP	2-chloroacetamide	TMT126	TMT134N	Chip1	1	1	Chip1_K562HeLa_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa;AC=EFO:0001185
Chip1_F2_TMT129N_heavy	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pleural effusion;AC=UBERON:0000175	not available	NT=chronic myeloid leukemia;AC=MONDO:0011996	NT=K562;AC=EFO:0002067	CVCL_0004	K-562	NT=adult;AC=EFO:0001272	53Y	female	not available	not applicable	not available	not available	-80 °C	NT=single cell;AC=PRIDE:0000897	cellenONE	Chip1_F2_TMT129N_heavy	1	3	run 7	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT129N;AC=PRIDE:0000525	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Fixed	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.6 Da	TCEP	2-chloroacetamide	TMT126	TMT134N	Chip1	1	1	Chip1_K562HeLa_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=K562;AC=EFO:0002067
Chip1_F2_TMT129C_light	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y6M	female	NT=African American;AC=HANCESTRO:0568	not applicable	not available	not available	-80 °C	NT=single cell;AC=PRIDE:0000897	cellenONE	Chip1_F2_TMT129C_light	1	5	run 8	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT129C;AC=PRIDE:0000524	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.6 Da	TCEP	2-chloroacetamide	TMT126	TMT134N	Chip1	1	1	Chip1_K562HeLa_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa;AC=EFO:0001185
Chip1_F2_TMT129C_heavy	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pleural effusion;AC=UBERON:0000175	not available	NT=chronic myeloid leukemia;AC=MONDO:0011996	NT=K562;AC=EFO:0002067	CVCL_0004	K-562	NT=adult;AC=EFO:0001272	53Y	female	not available	not applicable	not available	not available	-80 °C	NT=single cell;AC=PRIDE:0000897	cellenONE	Chip1_F2_TMT129C_heavy	1	4	run 9	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT129C;AC=PRIDE:0000524	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Fixed	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.6 Da	TCEP	2-chloroacetamide	TMT126	TMT134N	Chip1	1	1	Chip1_K562HeLa_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=K562;AC=EFO:0002067
Chip1_F2_TMT130N_light	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	NT=adult;AC=EFO:0001272	30Y6M	female	NT=African American;AC=HANCESTRO:0568	not applicable	not available	not available	-80 °C	NT=single cell;AC=PRIDE:0000897	cellenONE	Chip1_F2_TMT130N_light	1	6	run 10	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=TMT130N;AC=PRIDE:0000528	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	not applicable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-dependent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	35% NCE	10 ppm	0.6 Da	TCEP	2-chloroacetamide	TMT126	TMT134N	Chip1	1	1	Chip1_K562HeLa_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	NT=HeLa;AC=EFO:0001185
