source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sex]	characteristics[age]	characteristics[individual]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[cell cycle phase]	characteristics[sampling time]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[carrier channel]	comment[reference channel]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sampling time]	factor value[cell cycle phase]
carrier_pool	Homo sapiens	kidney	not available	cell line	not applicable	normal	HEK-293F	CVCL_6642	HEK293-F	female	not available	not applicable	FACS	carrier	120	not applicable	not applicable	1	20220924_T4_001-TMT126	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT126	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	TMT126	TMT127N	plate_01	1	1	20220924_T4_001.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	not applicable	not applicable
reference_pool	Homo sapiens	kidney	not available	cell line	not applicable	normal	HEK-293F	CVCL_6642	HEK293-F	female	not available	not applicable	FACS	reference	6	not applicable	not applicable	1	20220924_T4_001-TMT127N	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT127N	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	TMT126	TMT127N	plate_01	1	1	20220924_T4_001.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	not applicable	not applicable
HEK293F_plate_01_C1	Homo sapiens	kidney	not available	cell line	single cell	normal	HEK-293F	CVCL_6642	HEK293-F	female	not available	not applicable	FACS	plate_01_C1	1	G0/G1	0 hour	1	20220924_T4_001-TMT128N	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT128N	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	TMT126	TMT127N	plate_01	1	1	20220924_T4_001.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	0 hour	G0/G1
HEK293F_plate_01_E1	Homo sapiens	kidney	not available	cell line	single cell	normal	HEK-293F	CVCL_6642	HEK293-F	female	not available	not applicable	FACS	plate_01_E1	1	S	0.25 hour	1	20220924_T4_001-TMT128C	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT128C	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	TMT126	TMT127N	plate_01	1	1	20220924_T4_001.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	0.25 hour	S
HEK293F_plate_01_G1	Homo sapiens	kidney	not available	cell line	single cell	normal	HEK-293F	CVCL_6642	HEK293-F	female	not available	not applicable	FACS	plate_01_G1	1	S	0.75 hour	1	20220924_T4_001-TMT129N	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT129N	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	TMT126	TMT127N	plate_01	1	1	20220924_T4_001.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	0.75 hour	S
HEK293F_plate_01_K1	Homo sapiens	kidney	not available	cell line	single cell	normal	HEK-293F	CVCL_6642	HEK293-F	female	not available	not applicable	FACS	plate_01_K1	1	G0/G1	2 hour	1	20220924_T4_001-TMT130N	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT130N	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	TMT126	TMT127N	plate_01	1	1	20220924_T4_001.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	2 hour	G0/G1
HEK293F_plate_01_M1	Homo sapiens	kidney	not available	cell line	single cell	normal	HEK-293F	CVCL_6642	HEK293-F	female	not available	not applicable	FACS	plate_01_M1	1	G0/G1	4 hour	1	20220924_T4_001-TMT130C	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT130C	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	TMT126	TMT127N	plate_01	1	1	20220924_T4_001.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	4 hour	G0/G1
HEK293F_plate_01_O1	Homo sapiens	kidney	not available	cell line	single cell	normal	HEK-293F	CVCL_6642	HEK293-F	female	not available	not applicable	FACS	plate_01_O1	1	S	8 hour	1	20220924_T4_001-TMT131N	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT131N	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	TMT126	TMT127N	plate_01	1	1	20220924_T4_001.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	8 hour	S
HEK293F_plate_01_D1	Homo sapiens	kidney	not available	cell line	single cell	normal	HEK-293F	CVCL_6642	HEK293-F	female	not available	not applicable	FACS	plate_01_D1	1	G0/G1	0 hour	1	20220924_T4_001-TMT131C	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT131C	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	TMT126	TMT127N	plate_01	1	1	20220924_T4_001.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	0 hour	G0/G1
HEK293F_plate_01_F1	Homo sapiens	kidney	not available	cell line	single cell	normal	HEK-293F	CVCL_6642	HEK293-F	female	not available	not applicable	FACS	plate_01_F1	1	S	0.25 hour	1	20220924_T4_001-TMT132N	proteomic profiling by mass spectrometry	NT=Orbitrap Eclipse;AC=MS:1003029	TMT132N	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Peptide N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;TA=M;PP=Protein N-term;MT=Variable	NT=Met-loss+Acetyl;AC=UNIMOD:766;TA=M;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	TMT126	TMT127N	plate_01	1	1	20220924_T4_001.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	0.25 hour	S
