source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[treatment]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
CTRL_SC_10_S1-b4_1_1833	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_10_S1-b4_1_1833	1	1	run 1	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_10_S1-b4_1_1833.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_11_S1-b5_1_1834	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_11_S1-b5_1_1834	1	2	run 2	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_11_S1-b5_1_1834.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_12_S1-b6_1_1835	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_12_S1-b6_1_1835	1	3	run 3	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_12_S1-b6_1_1835.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_13_S1-c1_1_1842	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_13_S1-c1_1_1842	1	4	run 4	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_13_S1-c1_1_1842.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_14_S1-c2_1_1843	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_14_S1-c2_1_1843	1	5	run 5	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_14_S1-c2_1_1843.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_15_S1-c3_1_1844	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_15_S1-c3_1_1844	1	6	run 6	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_15_S1-c3_1_1844.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_16_S1-c4_1_1845	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_16_S1-c4_1_1845	1	7	run 7	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_16_S1-c4_1_1845.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_17_S1-c5_1_1846	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_17_S1-c5_1_1846	1	8	run 8	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_17_S1-c5_1_1846.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_18_S1-c6_1_1847	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_18_S1-c6_1_1847	1	9	run 9	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_18_S1-c6_1_1847.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_19_S1-d3_1_1856	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_19_S1-d3_1_1856	1	10	run 10	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_19_S1-d3_1_1856.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
