source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[treatment]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
CTRL_SC_1_S1-a1_1_1818	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_1_S1-a1_1_1818	1	11	run 11	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_1_S1-a1_1_1818.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_20_S1-d4_1_1857	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_20_S1-d4_1_1857	1	12	run 12	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_20_S1-d4_1_1857.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_21_S1-d5_1_1858	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_21_S1-d5_1_1858	1	13	run 13	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_21_S1-d5_1_1858.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_22_S1-d6_1_1861	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_22_S1-d6_1_1861	1	14	run 14	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_22_S1-d6_1_1861.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_23_S1-e3_1_1870	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_23_S1-e3_1_1870	1	15	run 15	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_23_S1-e3_1_1870.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_24_S1-e4_1_1871	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_24_S1-e4_1_1871	1	16	run 16	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_24_S1-e4_1_1871.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_25_S1-e5_1_1872	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_25_S1-e5_1_1872	1	17	run 17	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_25_S1-e5_1_1872.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_26_S1-e6_1_1873	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_26_S1-e6_1_1873	1	18	run 18	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_26_S1-e6_1_1873.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_27_S1-f3_1_1882	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_27_S1-f3_1_1882	1	19	run 19	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_27_S1-f3_1_1882.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_28_S1-f4_1_1883	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_28_S1-f4_1_1883	1	20	run 20	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_28_S1-f4_1_1883.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_29_S1-f5_1_1884	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_29_S1-f5_1_1884	1	21	run 21	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_29_S1-f5_1_1884.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_2_S1-a2_1_1819	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_2_S1-a2_1_1819	1	22	run 22	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_2_S1-a2_1_1819.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_30_S1-f6_1_1885	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_30_S1-f6_1_1885	1	23	run 23	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_30_S1-f6_1_1885.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_31_S1-g2_1_1893	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_31_S1-g2_1_1893	1	24	run 24	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_31_S1-g2_1_1893.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_32_S1-g3_1_1894	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_32_S1-g3_1_1894	1	25	run 25	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_32_S1-g3_1_1894.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
CTRL_SC_33_S1-g4_1_1895	NT=Homo sapiens;AC=NCBITaxon:9606	NT=colon;AC=UBERON:0001155	NT=colorectal carcinoma;AC=MONDO:0024331	NT=epithelial cell;AC=CL:0000066	NT=RKO;AC=CLO:0008825	CVCL_0504	RKO	sgControl (non-targeting sgRNA)	NT=single cell;AC=PRIDE:0000897	cellenONE	CTRL_SC_33_S1-g4_1_1895	1	26	run 26	proteomic profiling by mass spectrometry	data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	diaPASEF	1	1	CTRL_SC_33_S1-g4_1_1895.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	sgControl (non-targeting sgRNA)
