source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[culture medium]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[treatment]	characteristics[compound]	characteristics[dose]	characteristics[exposure duration]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[carrier channel]	comment[reference channel]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell line]	factor value[treatment]
EGI_A17_Slot2-22	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bile duct;AC=UBERON:0002394	NT=epithelial cell;AC=CL:0000066	NT=cholangiocarcinoma;AC=MONDO:0019087	NT=EGI-1 cell;AC=CLO:0002895	CVCL_1193	EGI-1	52Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	cell	NT=single cell;AC=PRIDE:0000897	not pooled	untreated	not applicable	not applicable	not applicable	cellenONE	A17_Slot2-22	1	1	run 1	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Formyl;AC=UNIMOD:122;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not applicable	not applicable	1	1	EGI_A17_DIA_IO_L15_Slot2-22_1_1051.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=EGI-1 cell;AC=CLO:0002895	untreated
EGI_A18_Slot2-23	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bile duct;AC=UBERON:0002394	NT=epithelial cell;AC=CL:0000066	NT=cholangiocarcinoma;AC=MONDO:0019087	NT=EGI-1 cell;AC=CLO:0002895	CVCL_1193	EGI-1	52Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	cell	NT=single cell;AC=PRIDE:0000897	not pooled	untreated	not applicable	not applicable	not applicable	cellenONE	A18_Slot2-23	1	2	run 2	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Formyl;AC=UNIMOD:122;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not applicable	not applicable	1	1	EGI_A18_DIA_IO_L15_Slot2-23_1_1052.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=EGI-1 cell;AC=CLO:0002895	untreated
EGI_A23_Slot2-28	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bile duct;AC=UBERON:0002394	NT=epithelial cell;AC=CL:0000066	NT=cholangiocarcinoma;AC=MONDO:0019087	NT=EGI-1 cell;AC=CLO:0002895	CVCL_1193	EGI-1	52Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	cell	NT=single cell;AC=PRIDE:0000897	not pooled	untreated	not applicable	not applicable	not applicable	cellenONE	A23_Slot2-28	1	3	run 3	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Formyl;AC=UNIMOD:122;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not applicable	not applicable	1	1	EGI_A23_DIA_IO_L15_Slot2-28_1_1057.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=EGI-1 cell;AC=CLO:0002895	untreated
EGI_B15_Slot2-32	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bile duct;AC=UBERON:0002394	NT=epithelial cell;AC=CL:0000066	NT=cholangiocarcinoma;AC=MONDO:0019087	NT=EGI-1 cell;AC=CLO:0002895	CVCL_1193	EGI-1	52Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	cell	NT=single cell;AC=PRIDE:0000897	not pooled	untreated	not applicable	not applicable	not applicable	cellenONE	B15_Slot2-32	1	4	run 4	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Formyl;AC=UNIMOD:122;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not applicable	not applicable	1	1	EGI_B15_DIA_IO_L15_Slot2-32_1_1062.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=EGI-1 cell;AC=CLO:0002895	untreated
EGI_B18_Slot2-35	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bile duct;AC=UBERON:0002394	NT=epithelial cell;AC=CL:0000066	NT=cholangiocarcinoma;AC=MONDO:0019087	NT=EGI-1 cell;AC=CLO:0002895	CVCL_1193	EGI-1	52Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	cell	NT=single cell;AC=PRIDE:0000897	not pooled	untreated	not applicable	not applicable	not applicable	cellenONE	B18_Slot2-35	1	5	run 5	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Formyl;AC=UNIMOD:122;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not applicable	not applicable	1	1	EGI_B18_DIA_IO_L15_Slot2-35_1_1065.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=EGI-1 cell;AC=CLO:0002895	untreated
EGI_B19_Slot2-36	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bile duct;AC=UBERON:0002394	NT=epithelial cell;AC=CL:0000066	NT=cholangiocarcinoma;AC=MONDO:0019087	NT=EGI-1 cell;AC=CLO:0002895	CVCL_1193	EGI-1	52Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	cell	NT=single cell;AC=PRIDE:0000897	not pooled	untreated	not applicable	not applicable	not applicable	cellenONE	B19_Slot2-36	1	6	run 6	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Formyl;AC=UNIMOD:122;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not applicable	not applicable	1	1	EGI_B19_DIA_IO_L15_Slot2-36_1_1066.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=EGI-1 cell;AC=CLO:0002895	untreated
EGI_B21_Slot2-38	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bile duct;AC=UBERON:0002394	NT=epithelial cell;AC=CL:0000066	NT=cholangiocarcinoma;AC=MONDO:0019087	NT=EGI-1 cell;AC=CLO:0002895	CVCL_1193	EGI-1	52Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	cell	NT=single cell;AC=PRIDE:0000897	not pooled	untreated	not applicable	not applicable	not applicable	cellenONE	B21_Slot2-38	1	7	run 7	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Formyl;AC=UNIMOD:122;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not applicable	not applicable	1	1	EGI_B21_DIA_IO_L15_Slot2-38_1_1068.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=EGI-1 cell;AC=CLO:0002895	untreated
EGI_B23_Slot2-40	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bile duct;AC=UBERON:0002394	NT=epithelial cell;AC=CL:0000066	NT=cholangiocarcinoma;AC=MONDO:0019087	NT=EGI-1 cell;AC=CLO:0002895	CVCL_1193	EGI-1	52Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	cell	NT=single cell;AC=PRIDE:0000897	not pooled	untreated	not applicable	not applicable	not applicable	cellenONE	B23_Slot2-40	1	8	run 8	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Formyl;AC=UNIMOD:122;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not applicable	not applicable	1	1	EGI_B23_DIA_IO_L15_Slot2-40_1_1070.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=EGI-1 cell;AC=CLO:0002895	untreated
EGI_C13_Slot2-41	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bile duct;AC=UBERON:0002394	NT=epithelial cell;AC=CL:0000066	NT=cholangiocarcinoma;AC=MONDO:0019087	NT=EGI-1 cell;AC=CLO:0002895	CVCL_1193	EGI-1	52Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	cell	NT=single cell;AC=PRIDE:0000897	not pooled	untreated	not applicable	not applicable	not applicable	cellenONE	C13_Slot2-41	1	9	run 9	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Formyl;AC=UNIMOD:122;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not applicable	not applicable	1	1	EGI_C13_DIA_IO_L15_Slot2-41_1_1071.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=EGI-1 cell;AC=CLO:0002895	untreated
EGI_C17_Slot2-45	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bile duct;AC=UBERON:0002394	NT=epithelial cell;AC=CL:0000066	NT=cholangiocarcinoma;AC=MONDO:0019087	NT=EGI-1 cell;AC=CLO:0002895	CVCL_1193	EGI-1	52Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	cell	NT=single cell;AC=PRIDE:0000897	not pooled	untreated	not applicable	not applicable	not applicable	cellenONE	C17_Slot2-45	1	10	run 10	proteomic profiling by mass spectrometry	NT=timsTOF SCP;AC=MS:1003231	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;TA=K;MT=Variable	NT=Formyl;AC=UNIMOD:122;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not applicable	not applicable	1	1	EGI_C17_DIA_IO_L15_Slot2-45_1_1076.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NT=EGI-1 cell;AC=CLO:0002895	untreated
