source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[disease]	characteristics[sex]	characteristics[strain or breed]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[pooled sample]	characteristics[spiked compound]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[developmental stage]
egg_velos_1	NT=Xenopus laevis;AC=NCBITaxon:8355	not applicable	fertilized egg stage	NT=zygote;AC=CL:0010017	cell	single cell	normal	not available	not available	manual picking	egg_velos_1	1	not pooled	not available	1	run 1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	NT=radial ejection linear ion trap;AC=MS:1000083	not available	0.5 Da	not applicable	1	1	20130716_AHS_XenopusL_Egg1_10ug_IBAQ_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	fertilized egg stage
egg_velos_1	NT=Xenopus laevis;AC=NCBITaxon:8355	not applicable	fertilized egg stage	NT=zygote;AC=CL:0010017	cell	single cell	normal	not available	not available	manual picking	egg_velos_1	1	not pooled	not available	1	run 2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	NT=radial ejection linear ion trap;AC=MS:1000083	not available	0.5 Da	not applicable	1	2	20130716_AHS_XenopusL_Egg1_10ug_IBAQ_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	fertilized egg stage
egg_velos_1	NT=Xenopus laevis;AC=NCBITaxon:8355	not applicable	fertilized egg stage	NT=zygote;AC=CL:0010017	cell	single cell	normal	not available	not available	manual picking	egg_velos_1	1	not pooled	not available	1	run 3	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	NT=radial ejection linear ion trap;AC=MS:1000083	not available	0.5 Da	not applicable	1	3	20130716_AHS_XenopusL_Egg1_10ug_IBAQ_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	fertilized egg stage
egg_velos_2	NT=Xenopus laevis;AC=NCBITaxon:8355	not applicable	fertilized egg stage	NT=zygote;AC=CL:0010017	cell	single cell	normal	not available	not available	manual picking	egg_velos_2	1	not pooled	not available	2	run 4	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	NT=radial ejection linear ion trap;AC=MS:1000083	not available	0.5 Da	not applicable	1	1	20130716_AHS_XenopusL_Egg2_10ug_IBAQ_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	fertilized egg stage
egg_velos_2	NT=Xenopus laevis;AC=NCBITaxon:8355	not applicable	fertilized egg stage	NT=zygote;AC=CL:0010017	cell	single cell	normal	not available	not available	manual picking	egg_velos_2	1	not pooled	not available	2	run 5	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	NT=radial ejection linear ion trap;AC=MS:1000083	not available	0.5 Da	not applicable	1	2	20130716_AHS_XenopusL_Egg2_10ug_IBAQ_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	fertilized egg stage
egg_velos_2	NT=Xenopus laevis;AC=NCBITaxon:8355	not applicable	fertilized egg stage	NT=zygote;AC=CL:0010017	cell	single cell	normal	not available	not available	manual picking	egg_velos_2	1	not pooled	not available	2	run 6	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	NT=radial ejection linear ion trap;AC=MS:1000083	not available	0.5 Da	not applicable	1	3	20130716_AHS_XenopusL_Egg2_10ug_IBAQ_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	fertilized egg stage
egg_velos_3	NT=Xenopus laevis;AC=NCBITaxon:8355	not applicable	fertilized egg stage	NT=zygote;AC=CL:0010017	cell	single cell	normal	not available	not available	manual picking	egg_velos_3	1	not pooled	not available	3	run 7	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	NT=radial ejection linear ion trap;AC=MS:1000083	not available	0.5 Da	not applicable	1	1	20130716_AHS_XenopusL_Egg3_10ug_IBAQ_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	fertilized egg stage
egg_velos_3	NT=Xenopus laevis;AC=NCBITaxon:8355	not applicable	fertilized egg stage	NT=zygote;AC=CL:0010017	cell	single cell	normal	not available	not available	manual picking	egg_velos_3	1	not pooled	not available	3	run 8	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	NT=radial ejection linear ion trap;AC=MS:1000083	not available	0.5 Da	not applicable	1	2	20130716_AHS_XenopusL_Egg3_10ug_IBAQ_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	fertilized egg stage
egg_velos_3	NT=Xenopus laevis;AC=NCBITaxon:8355	not applicable	fertilized egg stage	NT=zygote;AC=CL:0010017	cell	single cell	normal	not available	not available	manual picking	egg_velos_3	1	not pooled	not available	3	run 9	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	35 NCE	NT=radial ejection linear ion trap;AC=MS:1000083	not available	0.5 Da	not applicable	1	3	20130716_AHS_XenopusL_Egg3_10ug_IBAQ_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	fertilized egg stage
egg_deep_1	NT=Xenopus laevis;AC=NCBITaxon:8355	not applicable	fertilized egg stage	NT=zygote;AC=CL:0010017	cell	single cell	normal	not available	not available	manual picking	egg_deep_1	1	not pooled	CT=protein;QY=1 ug;CN=UPS2;CV=Sigma-Aldrich	1	run 10	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	not applicable	1	1	20140218_Q1_SA_PJ_RL_Xenopus_Egg1_Ibaq.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=single-cell;VV=v1.0.0	manual curation	fertilized egg stage
