source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[culture medium]	characteristics[phenotype]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]	factor value[phenotype]
20230406_PNAC1_single_cells_TGFb_D3_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	TGF-beta1-induced epithelial-mesenchymal transition (day 3)	NT=single cell;AC=PRIDE:0000897	manual picking	20230406_PNAC1_single_cells_TGFb_D3_1	1	1	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	Data-independent acquisition	1	1	20230406_PNAC1_single_cells_TGFb_D3_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	TGF-beta1-induced epithelial-mesenchymal transition (day 3)
20230406_PNAC1_single_cells_TGFb_D3_10	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	TGF-beta1-induced epithelial-mesenchymal transition (day 3)	NT=single cell;AC=PRIDE:0000897	manual picking	20230406_PNAC1_single_cells_TGFb_D3_10	1	10	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	Data-independent acquisition	1	1	20230406_PNAC1_single_cells_TGFb_D3_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	TGF-beta1-induced epithelial-mesenchymal transition (day 3)
20230406_PNAC1_single_cells_TGFb_D3_11	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	TGF-beta1-induced epithelial-mesenchymal transition (day 3)	NT=single cell;AC=PRIDE:0000897	manual picking	20230406_PNAC1_single_cells_TGFb_D3_11	1	11	run 3	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	Data-independent acquisition	1	1	20230406_PNAC1_single_cells_TGFb_D3_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	TGF-beta1-induced epithelial-mesenchymal transition (day 3)
20230406_PNAC1_single_cells_TGFb_D3_12	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	TGF-beta1-induced epithelial-mesenchymal transition (day 3)	NT=single cell;AC=PRIDE:0000897	manual picking	20230406_PNAC1_single_cells_TGFb_D3_12	1	12	run 4	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	Data-independent acquisition	1	1	20230406_PNAC1_single_cells_TGFb_D3_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	TGF-beta1-induced epithelial-mesenchymal transition (day 3)
20230406_PNAC1_single_cells_TGFb_D3_13	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	TGF-beta1-induced epithelial-mesenchymal transition (day 3)	NT=single cell;AC=PRIDE:0000897	manual picking	20230406_PNAC1_single_cells_TGFb_D3_13	1	13	run 5	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	Data-independent acquisition	1	1	20230406_PNAC1_single_cells_TGFb_D3_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	TGF-beta1-induced epithelial-mesenchymal transition (day 3)
20230406_PNAC1_single_cells_TGFb_D3_14	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	TGF-beta1-induced epithelial-mesenchymal transition (day 3)	NT=single cell;AC=PRIDE:0000897	manual picking	20230406_PNAC1_single_cells_TGFb_D3_14	1	14	run 6	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	Data-independent acquisition	1	1	20230406_PNAC1_single_cells_TGFb_D3_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	TGF-beta1-induced epithelial-mesenchymal transition (day 3)
20230406_PNAC1_single_cells_TGFb_D3_15	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	TGF-beta1-induced epithelial-mesenchymal transition (day 3)	NT=single cell;AC=PRIDE:0000897	manual picking	20230406_PNAC1_single_cells_TGFb_D3_15	1	15	run 7	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	Data-independent acquisition	1	1	20230406_PNAC1_single_cells_TGFb_D3_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	TGF-beta1-induced epithelial-mesenchymal transition (day 3)
20230406_PNAC1_single_cells_TGFb_D3_16	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	TGF-beta1-induced epithelial-mesenchymal transition (day 3)	NT=single cell;AC=PRIDE:0000897	manual picking	20230406_PNAC1_single_cells_TGFb_D3_16	1	16	run 8	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	Data-independent acquisition	1	1	20230406_PNAC1_single_cells_TGFb_D3_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	TGF-beta1-induced epithelial-mesenchymal transition (day 3)
20230406_PNAC1_single_cells_TGFb_D3_17	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	TGF-beta1-induced epithelial-mesenchymal transition (day 3)	NT=single cell;AC=PRIDE:0000897	manual picking	20230406_PNAC1_single_cells_TGFb_D3_17	1	17	run 9	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	Data-independent acquisition	1	1	20230406_PNAC1_single_cells_TGFb_D3_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	TGF-beta1-induced epithelial-mesenchymal transition (day 3)
20230406_PNAC1_single_cells_TGFb_D3_18	NT=Homo sapiens;AC=NCBITaxon:9606	NT=pancreas;AC=UBERON:0001264	NT=epithelial cell;AC=CL:0000066	NT=pancreatic ductal adenocarcinoma;AC=MONDO:0005184	NT=PANC-1;AC=CLO:0008381	CVCL_0480	PANC-1	56Y	male	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	TGF-beta1-induced epithelial-mesenchymal transition (day 3)	NT=single cell;AC=PRIDE:0000897	manual picking	20230406_PNAC1_single_cells_TGFb_D3_18	1	18	run 10	proteomic profiling by mass spectrometry	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not applicable	Data-independent acquisition	1	1	20230406_PNAC1_single_cells_TGFb_D3_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	NT=PANC-1;AC=CLO:0008381	TGF-beta1-induced epithelial-mesenchymal transition (day 3)
