source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[genotype]	characteristics[compound]	characteristics[dose]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[dose]
HomoCTRL_A11	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 hu/hu	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	HomoCTRL_A11	1	not available	not available	11	run 11	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	HomoCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_HomoCTRL_Row_A_A11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 hu/hu	not applicable
HomoCTRL_A12	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 hu/hu	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	HomoCTRL_A12	1	not available	not available	12	run 12	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	HomoCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_HomoCTRL_Row_A_A12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 hu/hu	not applicable
HomoCTRL_A13	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 hu/hu	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	HomoCTRL_A13	1	not available	not available	13	run 13	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	HomoCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_HomoCTRL_Row_A_A13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 hu/hu	not applicable
HomoCTRL_A14	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 hu/hu	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	HomoCTRL_A14	1	not available	not available	14	run 14	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	HomoCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_HomoCTRL_Row_A_A14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 hu/hu	not applicable
HomoCTRL_A15	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 hu/hu	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	HomoCTRL_A15	1	not available	not available	15	run 15	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	HomoCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_HomoCTRL_Row_A_A15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 hu/hu	not applicable
HomoCTRL_A16	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 hu/hu	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	HomoCTRL_A16	1	not available	not available	16	run 16	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	HomoCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_HomoCTRL_Row_A_A16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 hu/hu	not applicable
HomoCTRL_A17	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 hu/hu	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	HomoCTRL_A17	1	not available	not available	17	run 17	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	HomoCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_HomoCTRL_Row_A_A17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 hu/hu	not applicable
HomoCTRL_A18	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 hu/hu	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	HomoCTRL_A18	1	not available	not available	18	run 18	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	HomoCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_HomoCTRL_Row_A_A18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 hu/hu	not applicable
HomoCTRL_A19	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 hu/hu	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	HomoCTRL_A19	1	not available	not available	19	run 19	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	HomoCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_HomoCTRL_Row_A_A19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 hu/hu	not applicable
HomoCTRL_A19	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 hu/hu	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	HomoCTRL_A19	1	not available	not available	19	run 20	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	HomoCTRL	1	2	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_HomoCTRL_Row_A_A19_reinject10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 hu/hu	not applicable
HomoCTRL_A20	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 hu/hu	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	HomoCTRL_A20	1	not available	not available	20	run 21	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	HomoCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_HomoCTRL_Row_A_A20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 hu/hu	not applicable
HomoCTRL_A21	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 hu/hu	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	HomoCTRL_A21	1	not available	not available	21	run 22	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	HomoCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_HomoCTRL_Row_A_A21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 hu/hu	not applicable
HomoCTRL_A22	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 hu/hu	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	HomoCTRL_A22	1	not available	not available	22	run 23	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	HomoCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_HomoCTRL_Row_A_A22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 hu/hu	not applicable
HomoCTRL_A23	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 hu/hu	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	HomoCTRL_A23	1	not available	not available	23	run 24	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	HomoCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_HomoCTRL_Row_A_A23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 hu/hu	not applicable
HomoCTRL_A24	NT=Homo sapiens;AC=NCBITaxon:9606	NT=brain;AC=UBERON:0000955	NT=neural cell;AC=CL:0002319	normal	NOVA1 hu/hu	not applicable	not applicable	NT=single cell;AC=PRIDE:0000897	not applicable	HomoCTRL_A24	1	not available	not available	24	run 25	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	not available	400	1000	20	not available	HomoCTRL	1	1	20240626_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_HomoCTRL_Row_A_A24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	manual curation	NOVA1 hu/hu	not applicable
